SupplierID,SKU,Barcode
00024,924-gzw-074,d3438510858995
00025,192-kxy-767,p5406993248703
00025,321-axu-106,k4879147526242
00025,404-kan-562,a2282287388319
00025,832-pfe-556,y8979734237654
00025,922-ycg-167,m2915176432831
00026,294-bia-359,q7481830214756
00026,376-rpi-889,y1003579158329
00026,409-hyh-993,w8883387432999
00026,538-jph-856,o0228530929208
00026,541-fvn-268,i1192867504690
00026,640-plk-732,j6476332075503
00026,838-cig-255,t0173839708071
00026,866-vfl-436,f3793468418233
00026,918-tnh-394,o8355183631695
00027,119-pky-365,z4809020758528
00027,315-dmh-495,a2593117929393
00027,513-oyh-851,n9818218039771
00027,832-kze-097,c3298158684554
00027,873-gbd-962,h5078405783946
00028,068-hxn-855,t8686054371520
00028,081-laf-805,z4446676864029
00028,093-wzb-129,x6895819879264
00028,125-pjo-020,h3451913723997
00028,269-cvp-400,q9381825358329
00028,416-lbg-014,n7293958059267
00028,444-gzl-432,g6436047649838
00028,468-zno-263,k0291481022169
00028,501-ucb-659,u8581922583833
00028,714-kod-396,f9850530925534
00028,990-bge-114,v4660327801032
00029,014-paw-375,s6959300765054
00029,057-qjr-101,w2327652415702
00029,074-hov-823,h2478776179998
00029,206-ovh-383,l2748590531416
00029,383-eno-009,i9861342302188
00029,392-cjj-663,w1353106361891
00029,495-api-270,p7653441737113
00029,561-yul-742,o3164749601963
00029,661-xfj-489,j5926293536192
00029,958-cne-572,a3443090003246
00029,994-kpp-450,o7770415923677
00030,059-pgk-290,r0912361239328
00030,087-sfk-617,n7478429093687
00030,095-yhu-578,h5771846001961
00030,127-wsj-344,i5473086354051
00030,211-uof-675,k1708850648818
00030,235-mjq-846,w0149328000119
00030,239-baj-610,n8450332550225
00030,467-cdr-817,y2340993999441
00030,624-dhc-866,r3485014717526
00030,625-amw-750,d2834300249714
00030,821-rle-841,i1063823124812
00030,951-hbn-815,i9183378279522
00031,046-she-468,b9951728260160
00031,094-qvk-281,y4510351574525
00031,118-toa-350,q5763964401393
00031,161-kdc-028,n0610118476646
00031,212-hhi-491,w7170224273934
00031,281-hqn-682,z3666079841032
00031,644-vcc-566,k2496614235707
00031,651-fvt-008,n8841782055733
00031,800-aml-558,k6040516367206
00032,045-kct-698,g5919326637205
00032,048-aer-770,r1600012697454
00032,149-czv-792,b7134415512595
00032,321-mgf-399,s0051989533818
00032,486-stg-615,s0234303325316
00032,533-mwl-787,o4725896452904
00032,670-mqh-575,d3732792952084
00032,691-uev-703,y4995929608920
00032,786-tpb-883,c2059643930272
00032,969-sbu-950,m8977459324367
00033,069-pyz-195,t6923198225344
00033,099-biw-104,p6697092667307
00033,115-erh-934,i0227036356391
00033,214-jpb-995,b5011229687787
00033,244-rdk-583,v3966096693623
00033,265-svi-602,e2331993904855
00033,277-nxi-628,r8974437266660
00033,344-xir-412,y1759261328800
00033,407-uwt-102,i3886407385441
00033,655-xwu-343,f0850879690140
00033,778-xjw-101,l8648873663781
00033,836-kkk-959,x2554950425917
00033,926-jor-431,k7531844164588
00033,987-bpc-598,m4437228542780
00034,028-joj-226,m7181218449612
00034,096-fys-559,j5248027765626
00034,120-sld-532,l4320287071447
00034,150-wfk-929,a0563027930247
00034,195-hce-010,e2600686464202
00034,301-jnl-915,a0421676215491
00034,369-toj-325,f9372133736624
00034,419-mfi-965,e8588210086190
00034,611-vnl-389,u0381562145819
00034,940-fvm-174,c3506669251643
00035,047-snn-656,y9646532847468
00035,085-czx-807,k9198901458118
00035,248-pit-861,l9022499613514
00035,336-kpb-264,l0243314601123
00035,428-gpk-067,i9543959780999
00035,690-zsc-186,q7727491731537
00035,727-jjm-868,z6518666549258
00035,813-pgn-828,p0161658339037
00035,816-tmo-100,r7490791971550
00035,843-slc-813,c4759151857934
00035,945-xxl-354,z5652681129896
00036,228-nuk-589,m4080194645294
00036,368-jnr-419,r1165476485335
00036,603-vnh-174,d3341484273647
00036,748-ctq-596,b3592148956494
00036,963-oqn-875,r4888127731776
00037,003-umi-058,b7174847175202
00037,098-tac-562,w2640804300447
00037,239-hln-554,m9481074254624
00037,289-xdd-935,q3839268753914
00037,772-ttv-776,c5514320136448
00037,802-fuk-273,a5818064175608
00037,871-afh-782,q3352201190435
00037,910-gdc-335,i0994301827833
00037,950-pge-436,o3450131471925
00038,061-fnt-344,p2833668417099
00038,563-asq-342,j9393919384329
00038,969-wdh-833,s2191014771687
00038,999-yix-170,b8601072834337
00039,030-hkl-687,y9612938784911
00039,070-sob-552,e3984226385960
00039,190-hug-683,z1745719665721
00039,244-art-914,q3275297183949
00039,342-tmp-040,l5114405942672
00039,391-jwt-757,x5368328367726
00039,489-mdr-528,d6480324310410
00039,591-kqr-969,u6525447556520
00039,770-hdg-884,c0228864051611
00039,800-eqo-648,o4493454110358
00039,861-fpd-058,p6827143134839
00040,078-wwv-569,b0837849644140
00040,091-orj-358,g8376584730904
00040,151-rsb-019,s3595521710023
00040,266-vhx-644,h1553988354453
00040,366-gat-702,a6358910759020
00040,383-zzi-786,b2025812918776
00040,479-hjw-572,x8260639169087
00040,745-dsw-917,c7539090698271
00040,764-kwb-179,y8109489596340
00040,859-wzg-590,n0429255391628
00041,100-rpd-164,t8868686821297
00041,182-hbc-769,c1012615857992
00041,334-med-893,u3147479254471
00041,500-kwj-456,j2426762715181
00041,623-mqz-381,z1692903787557
00041,655-egu-005,k5905495857092
00041,746-vyw-488,d9336573804246
00041,765-ryc-866,g7639337214575
00042,046-mim-250,s6190130192177
00042,160-dle-864,z1830473433565
00042,365-auf-085,m9503246135636
00042,544-fiv-983,q8727186947082
00042,590-psy-809,o5701267297963
00042,785-ffo-420,p7739610858946
00042,876-pew-649,g3207330550954
00042,893-eyu-269,a7040908423606
00042,918-wmd-397,y7701191710290
00043,025-hhn-799,d4223778279415
00043,117-tuo-580,j8796404446727
00043,212-hfk-183,r5437721314919
00043,277-qfn-219,m3551773821840
00043,567-hht-351,a6936120700536
00043,670-zis-593,m0291248709760
00043,742-rit-682,o2468407105375
00043,746-neo-354,w2636625326398
00043,784-dqm-308,z7001805855779
00043,929-tpy-606,r1320398382035
00044,011-vie-982,a5921859493385
00044,119-jjc-423,f5801217717664
00044,163-ryx-920,p3360662729248
00044,384-vez-968,k0354507594675
00044,559-cir-998,s7781323444119
00044,700-bbi-449,n0327852433732
00044,863-xaa-506,z6791233372210
00044,916-ote-093,p8870619277766
00045,031-xnj-189,r0433260331295
00045,045-gcf-025,j5790825936382
00045,065-rix-459,v3829913887623
00045,125-wnv-806,a8445368116154
00045,154-lur-541,x5778749054626
00045,172-ndc-755,i4438953304327
00045,173-azg-468,q8845216734617
00045,208-wdd-319,n6002858008324
00045,263-pyh-276,k4153786321512
00045,336-hxj-764,e1690105827906
00045,346-xlt-486,m8359880765298
00045,390-mky-418,t2547767671046
00045,488-vft-300,h7447100483705
00045,535-wlp-292,g4291535722431
00045,591-qrd-998,g2784041981041
00045,717-dbf-384,x7301591754788
00045,836-vyh-421,f4270065950679
00045,837-lwy-110,h7765215067014
00045,911-nbq-749,o7262115839788
00045,918-prw-353,g2944641099348
00046,120-cfr-310,m9840893823671
00046,130-fiv-903,q4301533147968
00046,270-lxc-486,v9510902231884
00046,401-awc-102,n2750189172039
00046,491-xnh-920,r1425252187839
00046,529-cib-477,o7385979392937
00046,739-izj-990,d7565405432272
00046,780-psh-715,g3513212804446
00046,900-nzb-739,f5589860369496
00046,934-yym-433,z4340836407855
00046,987-iui-890,b7816065006411
00047,011-zis-666,r1453420888330
00047,021-udh-219,r7832059061578
00047,054-sgg-534,d7491851498705
00047,191-veu-135,i1617064274624
00047,283-rzx-964,x0780333176004
00047,630-vfb-349,u8842303267073
00047,678-uvm-376,w0446700078166
00047,988-qno-647,s6382320518536
00048,120-jxx-611,i8694808719067
00048,130-mnb-467,h8951850676731
00048,130-nwx-902,z5712132087644
00048,158-nwu-281,e2886371691323
00048,171-yuc-837,e6359984656375
00048,319-hjr-350,z9407381547972
00048,371-yoq-507,v9609498307567
00048,459-zmn-994,h0682279574654
00048,477-gam-138,d2333189420793
00048,525-jre-944,k4458457989531
00048,846-hiz-329,h6004156927743
00048,862-bar-967,r0555730474906
00048,909-vyy-648,t9303343533480
00049,060-rro-246,z0805712994792
00049,187-ebd-275,z1113947795539
00049,204-voi-704,n6426823699685
00049,287-akg-187,d1908287079687
00049,338-nwu-914,v5865135167702
00049,496-rao-508,h4462613347285
00049,512-fsw-817,t6371678403069
00049,529-kmm-651,r7436327313278
00049,547-asy-791,t7567422229642
00049,598-vxz-350,f6672245762197
00049,617-suo-904,a5819157382898
00049,659-fbv-073,a2452446416668
00049,756-ncv-464,j6003846912554
00050,005-xqq-176,h4076479649604
00050,006-hhb-479,g5573172613373
00050,079-siu-384,i0095290812166
00050,101-mgq-200,a3373516129718
00050,160-qex-408,i8982302921576
00050,195-ral-104,b2246639667243
00050,207-bmi-867,w3948042178241
00050,252-cuy-684,h7879702127199
00050,519-bua-027,q7389216161279
00050,624-ipm-643,n2733573662383
00050,626-awv-298,g5613894766642
00050,711-jen-534,q7928755248698
00050,721-ppm-730,d2315580673362
